LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Rzędna zera wodowskazu;Kilometr biegu rzeki
825;154180100;Władysławowo;Morze Bałtyckie (0);1938;54 47 48;18 25 07;-4.944;0.0
826;154180110;Zapowiednik;Wierzyca (298);1970;54 02 19;18 28 10;93.989;89.59
827;154180120;Gdynia;Morze Bałtyckie (0);1931;54 31 04;18 33 19;-4.913;0.0
828;154180140;Gdańsk Port Północny;Morze Bałtyckie (0);1815;54 23 59;18 41 53;-4.937;0.0
829;154180150;Tczew;Wisła (2);1811;54 05 14;18 48 20;-0.496;33.78
830;154180160;Gdańsk Sobieszewo;Martwa Wisła (48);1926;54 20 47;18 48 55;-4.966;18.66
831;154180170;Wiślina;Motława (486);2004;54 18 27;18 43 31;-4.612;10.75
832;154180180;Suchy Dąb;Bielawa (4864);2004;54 13 53;18 43 55;-4.861;0.92
833;154180190;Gdańsk Przegalina;Wisła (2);1895;54 18 38;18 55 45;-5.019;5.93
834;154180200;Gdańsk Świbno;Wisła (2);1897;54 20 11;18 56 08;-4.995;2.71
835;154180210;Gdańsk Ujście Wisły;Wisła (2);1947;54 21 10;18 56 35;-5.035;0.85
836;154180220;Gdańska Głowa;Wisła (2);1898;54 16 01;18 57 05;-4.998;10.51
837;154180230;Borucino;Radunia (4868);2004;54 15 10;17 59 46;155.411;97.28
838;154180260;Pruszcz Gdański;Kanał Raduński (48696);2015;54 15 12;18 37 48;7.204;13.04
839;154180270;Pruszcz Gdański;Radunia (4868);2015;54 15 00;18 37 49;5.488;10.78
840;154180280;Dębki;Morze Bałtyckie (0);2023;54 49 53;18 03 45;-5.0;0.28
841;154180290;Reda-Cedron;Reda (478);2023;54 36 35;18 16 09;;19.68
842;154180300;Skarszewy;Wietcisa (2984);2023;54 03 24;18 25 45;104.5;3.01
843;154190010;Nowy Dwór Gdański;Tuja (5146);1947;54 12 52;19 06 47;-5.04;10.63
844;154190020;Tujsk;Szkarpawa (514);1948;54 17 03;19 08 18;-5.044;8.65
845;154190030;Osłonka;Zalew Wiślany (5119);1949;54 15 54;19 14 41;-4.986;0.08
846;154190040;Nowotki;Nogat (52);1947;54 15 09;19 18 00;-4.998;3.94
847;154190050;Nowakowo;Elbląg (54);1811;54 13 50;19 21 47;-5.112;2.75
848;154190060;Elbląg;Elbląg (54);1896;54 10 19;19 23 16;-5.138;9.68
849;154190070;Krynica Morska;Zalew Wiślany (5119);1934;54 22 43;19 26 43;-5.007;0.0
850;154190080;Żukowo;Jez. Druzno (5459999);1975;54 06 10;19 27 03;-5.275;16.17
851;154190090;Tolkmicko;Zalew Wiślany (5119);1947;54 19 24;19 31 23;-4.994;0.0
852;154190100;Pasłęk;Wąska (5456);1960;54 04 14;19 39 36;6.722;14.65
853;154190110;Nowe Sadłuki;Bauda (558);1997;54 15 37;19 42 42;19.117;27.88
854;154190130;Nowa Pasłęka;Zalew Wiślany (5119);1949;54 25 33;19 44 46;-5.004;0.0
855;154190140;Braniewo;Pasłęka (56);1886;54 23 03;19 49 35;-5.159;9.34
856;154190150;Pierzchały 2;Pasłęka (56);2006;54 18 02;19 50 56;15.306;24.19
857;154190160;Pierzchały;Pasłęka (56);1970;54 18 03;19 50 56;3.541;24.18
858;154190170;Łozy;Pasłęka (56);1979;54 11 41;19 57 03;20.643;53.86
859;154190180;NOWY ŚWIAT- UJŚCIE;Morze Bałtyckie (0);2023;54 21 50;19 18 40;-5.0;
860;154190200;NOWY ŚWIAT - ZALEW;Zalew Wiślany (59);2023;54 21 02;19 18 46;-5.0;
861;154200010;Bornity;Wałsza (568);1947;54 11 09;20 02 52;34.019;13.07
862;154200020;Krosno;Drwęca Warmińska (566);1999;54 07 51;20 10 22;50.615;15.13
863;154200030;SMOLAJNY;Łyna (584);1900;54 01 33;20 23 49;68.004;108.98
864;154200040;PIASECZNO;Elma (58474);1951;54 13 10;20 33 01;71.954;16.53
865;154209999;Olkowo;Pasłęka (56);1888;54 06 21;20 02 18;30.1;82.31
866;154210010;SĘPOPOL;Łyna (584);1839;54 15 58;21 00 21;26.302;18.85
867;154210020;PROSNA;Guber (5848);1924;54 14 01;21 05 12;28.943;10.2
868;154210030;BYKOWO;Sajna (58488);1960;54 13 14;21 06 38;33.183;4.4
869;154210040;Kronowo;Jez. Dejguny (Kanały Iławki i Dejguny) (264132);1974;54 03 00;21 34 02;115.312;9.34
870;154210060;PRZYSTAŃ;Jez. Mamry (Węgorapa) (582);1974;54 11 27;21 39 01;114.467;50.88
871;154210070;WĘGORZEWO;Węgorapa (582);2006;54 13 36;21 43 51;110.936;41.78
872;154210080;PRYNOWO;Węgorapa (582);1906;54 14 39;21 43 12;109.526;37.28
873;154210090;GIŻYCKO;Pisa (264);1850;54 02 08;21 45 40;114.707;149.13
874;154210100;MIEDUNISZKI;Węgorapa (582);1962;54 19 35;21 58 48;86.291;2.0
875;154210110;Smokowo;Dejna (58482);2024;54 03 58;21 19 25;67.5;2.07
876;154220010;BANIE MAZURSKIE;Gołdapa (5824);1908;54 14 52;22 01 47;100.437;12.08
877;154220020;BORKI;Jez. Litygajno (Ełk) (2628);1959;54 06 00;22 10 17;131.445;96.2
878;154220030;MAŁE WRONKI;Ełk (2628);1957;54 01 18;22 13 19;128.307;89.33
879;154220050;JURKISZKI;Gołdapa (5824);1954;54 18 33;22 22 05;152.542;63.51
880;154220070;WÓLKA;Jez. Rospuda Filipowska (Netta) (2622);1959;54 12 14;22 37 00;168.641;107.63
881;154220090;BRÓD STARY;Czarna Hańcza (64);1992;54 08 04;22 52 50;172.599;126.12
882;154220100;KLESZCZÓWEK;Szeszupa (68);1977;54 16 15;22 54 38;144.769;19.32
883;154220110;GOŁDAP 2;Gołdapa (5824);2012;54 18 46;22 18 43;145.556;55.09
884;154230010;POSZESZUPIE;Szeszupa (68);1964;54 20 40;23 01 15;118.993;4.27
885;154230030;CZERWONY FOLWARK;Czarna Hańcza (64);1946;54 04 11;23 07 02;129.713;96.57
886;154230040;ZELWA;Marycha (648);1964;54 01 37;23 27 31;121.282;45.94
887;250161110;Golińsk;Ścinawka (122);2025;50 38 49;16 12 12;;
