LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Rzędna zera wodowskazu;Kilometr biegu rzeki
603;152210110;Zawiszyn;Osownica (2671488);1953;52 29 12;21 39 22;97.737;4.09
604;152210120;Łochów;Liwiec (267148);1929;52 30 36;21 40 42;95.082;18.29
605;152210130;Nowe Kaczkowo;Brok (2671476);1966;52 43 42;21 57 20;96.491;7.75
606;152210140;JAGODNE;Kostrzyń (2671484);1924;52 12 06;21 58 41;132.585;18.03
607;152210150;Popowo;Bug (26714);2013;52 31 41;21 10 32;77.062;3.43
608;152210170;WARSZAWA-BULWARY;Wisła (2);2017;52 14 50;21 01 15;75.168;421.68
609;152210180;Pułtusk;Narew (26);2024;52 42 10;21 05 36;77.409;61.08
610;152219993;Różan;Narew (26);1919;52 53 07;21 24 22;84.832;115.01
611;152219996;Zielonka;Długa (267184);1937;52 18 46;21 08 25;83.529;9.78
612;152220010;Zaliwie-Piegawki;Liwiec (267148);1966;52 15 11;22 05 41;129.663;93.71
613;152220050;Frankopol;Bug (26714);1916;52 24 54;22 33 39;109.713;148.85
614;152220060;HRUSZEW;Toczna (2671458);1966;52 19 14;22 43 13;122.23;11.71
615;152220070;Brańsk;Nurzec (267146);1930;52 44 38;22 49 07;122.32;48.86
616;152220080;SURAŻ;Narew (26);1928;52 56 56;22 57 18;116.105;350.87
617;152220100;Kozarze;Nurzec (267146);2024;52 40 11;22 28 35;107.363;13.1
618;152229999;MAŁKINIA;Bug (26714);1878;52 40 27;22 00 58;95.692;84.72
619;152230010;Boćki;Nurzec (267146);1930;52 39 06;23 02 17;134.45;71.97
620;152230020;Porosiuki;Krzna (267144);1973;52 01 12;23 03 31;137.204;45.91
621;152230030;CHRABOŁY;Orlanka (2614);1954;52 51 44;23 11 45;123.924;6.72
622;152230040;PLOSKI;Narew (26);2005;52 54 08;23 13 56;121.81;384.25
623;152230050;Perkowice;Zielawa (2671448);1973;51 59 47;23 17 06;134.43;5.09
624;152230060;TRZEŚCIANKA;Rudnia (26136);1977;52 56 20;23 25 32;129.011;6.26
625;152230070;Malowa Góra;Krzna (267144);1926;52 06 13;23 28 03;127.767;9.26
626;152230080;Krzyczew;Bug (26714);1967;52 08 49;23 29 57;125.216;255.63
627;152230090;NAREW;Narew (26);1927;52 54 57;23 31 22;129.514;415.38
628;152230100;NAREWKA;Narewka (2612);1925;52 51 47;23 43 31;138.756;12.01
629;152230110;BONDARY;Narew (26);1963;52 56 25;23 44 56;135.091;441.72
630;152230120;SIEMIANÓWKA;Narew (26);2005;52 56 25;23 45 26;141.436;442.3
631;152230190;BIAŁOWIEŻA-PARK;Narewka (2612);2000;52 42 05;23 50 29;149.916;38.58
632;152230200;ZABUŻE;Bug (26714);2014;52 19 03;23 02 56;115.614;194.24
633;153140010;Świnoujście;Morze Bałtyckie (0);1810;53 54 30;14 15 52;-4.915;0.0
634;153140020;Widuchowa;Odra (1);1901;53 07 21;14 22 55;-5.013;60.83
635;153140030;Gryfino;Odra (1);1883;53 15 25;14 29 04;-5.023;44.04
636;153140040;Trzebież;Zalew Szczeciński (319);1881;53 39 33;14 31 08;-4.934;0.0
637;153140050;Szczecin Most Długi;Odra (1);1851;53 25 21;14 33 35;-4.982;23.08
638;153140060;Wolin;Cieśnina Dziwna (35);1811;53 50 17;14 37 00;-4.918;28.9
639;153140070;Dziwnów;Morze Bałtyckie (0);1853;54 01 14;14 43 54;-4.915;0.38
640;153140080;Widzieńsko;Gowienica (314);1967;53 39 56;14 44 41;5.929;13.32
641;153140090;Goleniów;Ina (198);1872;53 33 47;14 49 37;1.885;15.85
642;153140100;Żelewo;Płonia (197432);1955;53 16 39;14 51 48;12.04;25.99
643;153140110;Okunica;Płonia (197432);1961;53 11 51;14 56 17;13.84;37.09
644;153140190;Szczecin-Podjuchy;Regalica (1974);2004;53 22 08;14 35 33;-5.054;20.46
645;153140200;Morzyczyn;Jez. Miedwie (Płonia) (197432);2011;53 21 05;14 54 59;13.391;26.2
646;153150010;Stargard;Ina (198);1946;53 21 01;15 02 27;15.891;58.08
647;153150020;Morzyca;Mała Ina (1986);1958;53 12 31;15 08 49;30.397;22.33
648;153150030;Kulice;Sąpólna (4268);1978;53 39 36;15 10 06;45.005;16.12
649;153150040;Gogolewo;Krąpiel (1988);1916;53 22 57;15 10 21;42.308;24.42
650;153150050;Resko;Rega (42);1956;53 46 22;15 23 43;31.939;80.61
